Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
171005,/m/016ywb,Henry V,1989-11-08,10161099.0,137.0,"{""/m/02h40lc"": ""English Language""}","{""/m/04xvh5"": ""Costume drama"", ""/m/082gq"": ""War film"", ""/m/06l3bl"": ""Epic"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation""}",United Kingdom,Europe
33427105,/m/0h964n1,Freddy and the Song of the South Pacific,1962-09-12,,97.0,"{""/m/04306rv"": ""German Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",Germany,Europe
31983669,/m/0g4_n3m,Road to Life,1931-09-30,,104.0,"{""/m/06b_j"": ""Russian Language""}","{""/m/07s9rl0"": ""Drama""}",Soviet Union,Europe
22087420,/m/05pckh0,"Ferdinando I, re di Napoli",1959-12-22,,105.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}",France,Europe
22087420,/m/05pckh0,"Ferdinando I, re di Napoli",1959-12-22,,105.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}",Italy,Europe
21449578,/m/05f6kpj,Hamsun,1996-04-19,,160.0,"{""/m/02h40lc"": ""English Language"", ""/m/06mp7"": ""Swedish Language"", ""/m/04306rv"": ""German Language"", ""/m/05f_3"": ""Norwegian Language"", ""/m/0295r"": ""Danish Language""}","{""/m/082gq"": ""War film"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3mws"": ""Biopic [feature]""}",Germany,Europe
21449578,/m/05f6kpj,Hamsun,1996-04-19,,160.0,"{""/m/02h40lc"": ""English Language"", ""/m/06mp7"": ""Swedish Language"", ""/m/04306rv"": ""German Language"", ""/m/05f_3"": ""Norwegian Language"", ""/m/0295r"": ""Danish Language""}","{""/m/082gq"": ""War film"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3mws"": ""Biopic [feature]""}",Denmark,Europe
21449578,/m/05f6kpj,Hamsun,1996-04-19,,160.0,"{""/m/02h40lc"": ""English Language"", ""/m/06mp7"": ""Swedish Language"", ""/m/04306rv"": ""German Language"", ""/m/05f_3"": ""Norwegian Language"", ""/m/0295r"": ""Danish Language""}","{""/m/082gq"": ""War film"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3mws"": ""Biopic [feature]""}",Sweden,Europe
21449578,/m/05f6kpj,Hamsun,1996-04-19,,160.0,"{""/m/02h40lc"": ""English Language"", ""/m/06mp7"": ""Swedish Language"", ""/m/04306rv"": ""German Language"", ""/m/05f_3"": ""Norwegian Language"", ""/m/0295r"": ""Danish Language""}","{""/m/082gq"": ""War film"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3mws"": ""Biopic [feature]""}",Norway,Europe
19494009,/m/04m_wkg,Klingende toner,1945-08-06,,,"{""/m/0295r"": ""Danish Language""}","{""/m/01g6gs"": ""Black-and-white""}",Denmark,Europe
31304361,/m/0gj93w4,The Tango Player,1991-02-28,,96.0,"{""/m/04306rv"": ""German Language""}","{""/m/07s9rl0"": ""Drama""}",Germany,Europe
5894429,/m/0fc8w8,Closing the Ring,2007-09-14,,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Canada,Europe
5894429,/m/0fc8w8,Closing the Ring,2007-09-14,,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",United Kingdom,Europe
30246289,/m/04mnqv6,33 Scenes from Life,2008-08-10,,100.0,"{""/m/05qqm"": ""Polish Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",Poland,Europe
30246289,/m/04mnqv6,33 Scenes from Life,2008-08-10,,100.0,"{""/m/05qqm"": ""Polish Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",Germany,Europe
2659373,/m/07vz8r,The Iron Maiden,1963-06-07,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01z4y"": ""Comedy""}",United Kingdom,Europe
28937087,/m/0dgrk23,Children of Glory,2006-10-23,,123.0,"{""/m/03gj2"": ""Hungary"", ""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02ztjwg"": ""Hungarian language""}","{""/m/01z02hx"": ""Sports"", ""/m/02l7c8"": ""Romance Film"", ""/m/02p0szs"": ""Historical fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",Hungary,Europe
31723287,/m/0gynvg5,Great West End Theatres,2012-02-20,,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03g3w"": ""History"", ""/m/0jtdp"": ""Documentary""}",United Kingdom,Europe
7707787,/m/0bd62lc,Carmen,2003-10-03,,119.0,"{""/m/064_8sq"": ""French Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",Spain,Europe
22066590,/m/05p3428,The Bigamist,1956-09-20,,110.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/05p553"": ""Comedy film"", ""/m/01g6gs"": ""Black-and-white""}",France,Europe
22066590,/m/05p3428,The Bigamist,1956-09-20,,110.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/05p553"": ""Comedy film"", ""/m/01g6gs"": ""Black-and-white""}",Italy,Europe
33495214,/m/0h95z9x,Zum Teufel mit der Penne,1968-12-12,,99.0,"{""/m/04306rv"": ""German Language""}","{""/m/05p553"": ""Comedy film""}",Germany,Europe
